							
							
							
session ID	Day	Start time	End time	Room	talk ID		
Sch51	2026-09-18	13.45	15:45	Room A	specialplenary	Special Plenary Panel — WOSC: “The World in Torment: A Time Whose Ideas Must Come”  (G Bula, F Caputo)	
Sch52	2026-09-18	13.45	14:45	Room B	talk14	Exchange Ecologies and Existential Conductivity: A Cybernetic Framework for Hybrid Human Systems	Carlos Andrés Mejía Beltrán
Sch53	2026-09-18	13.45	14:45	Room C	talk45	The Social Movement of Tomorrow: Sharing Practical VSM Application	Leon Bellin
Sch54	2026-09-18	13.45	14:45	Room D	talk10	Designing Heterarchy: An Extension of the Viable System Model for Complex Construction Projects.	Ben Wood
Sch55	2026-09-18	14:45	15:45	Room B	talk78	Translating VSM into Practice: A Capability‑Led Approach using Microsoft 365	Vijaya Manchem
Sch56	2026-09-18	14:45	15:45	Room C	talk76	Diagnosing the System of the Self: Logical Closure, Normative Identity, and Existential Viability	Thomas McEvoy-Zafiropulos
Sch57	2026-09-18	14:45	15:45	Room D	talk43	The Speed Gap - Translating the Viable System Model for a New Generation of Practitioners 	Krishan Mathis
Sch58	2026-09-18	15:45	16:15		coffee	Coffee	
Sch59	2026-09-19	16:15	17:00	Room A		The Next 100 Years of Stafford Beer: A Working Viable System Model for the Agentic AI Era    	Steve Outtrim & David J. Teece
Sch60	2026-09-19	16:15	17:00	Room A	talk21	David Teece, Steve Outtrim. Beer-Viable but Teece-Dead: The Viable System Model as the Wiring Diagram of Dynamic Capabilities	Steve Outtrim & David J. Teece
Sch61	2026-09-19	16:15	17:00	Room B	talk68	"Embracing the Black Box: Why Unexplainable AI (x ̅""AI"" ) is a Vital Feature of the Viable System's Algedonic Channel"	Stephen McGibbon
Sch62	2026-09-18	16:15	17:00	Room C	talk52	From Cybersyn to the City: Variety Engineering and the Design of Open Urban Infrastructures	Mateus van Stralen
	2026-09-18	17:00	17:50		digitalscreening	Digital Museum/Video Documentaries Screening - A Espinosa, B Angelov, J Walker, V Beer, A Leonard, B Vaz, G Filewod TOAST TO SB 100	
Sch63	2026-09-18	17:50	18:00		toast	Toast to Stafford Beer 100	
Sch64	2026-09-18	20:00	23:00		galadinner	Gala Dinner	
Sch65	2026-09-19	09:00	09:15		reception	Reception	
Sch66	2026-09-19	09:15	10:00	Room A	talk55	Elevating Stafford Beer’s Legacy: A Critical Systems Thinking Perspective on the Viable System Model	Mike Jackson
Sch67	2026-09-19	09:15	10:00	Room B	talk31	The Art of Boundary-Making: Deepening the VSM through Cognitive-Developmental Science	Jan de Visch
