sch41	2026-09-18	10:15	11:00	Room C	talk65	Artificial intelligence as a liberty machine. A metamodelization of barefoot cybernetics 	Theodor Sarafidis
sch42	2026-09-18	10:15	11:00	Room D	talk62	From Evidence to Inquiry: Keeping LLM Inference Provisional in Recursive VSM Diagnosis	Richard Gunther
sch43	2026-09-18	11:00	11:30		coffee	Coffee	
sch44	2026-09-18	11:30	12:15	Room A	talk25	Building upon the Project Cybersyn: CyberSystemic Management for blending Structural Cybernetics and Relational Consonance	Francisco Caputo (keynote)
sch45	2026-09-18	11:30	12:15	Room B	talk1	OpenSoma: A Decolonial Cybernetic Agent A Working System in the Line of Descent from Project Cybersyn	Alejandro Fernandez
sch46	2026-09-18	11:30	12:15	Room C	talk5	Ponds, politics and the east: Stafford Beer's cybernetics—a wider view.	Andrew Pickering (keynote)
sch47	2026-09-18	11:30	12:15	Room D	talk26	Algedonics in practice? Notes from Swedish collective bargaining	Franz Spengler
sch48	2026-09-18	12:15	13:00	Room A	talk28	Beer’s Thought in the Colombian Comptroller General Project: Beyond Detecting Corruption—Designing Viable Public Institutions through Organizational Cybernetics	German Bula Escobar (keynote)
sch49	2026-09-18	12:15	13:00	Room B	talk61	Cybersyn Boxes. Prototyping a Document Visualisation Assisted by AI	Ricardo Vega Mora
sch50	2026-09-18	12:15	13:00	Room C	talk11	Rethinking Organisational Networks: Practical Insights from Applying the Viable System Model in Real World Ecosystems	Lien Peeters & Benny Corvers
sch51	2026-09-18	12:15	13:00	Room D	talk56	Can Stafford Beer Help Save Journalism? Applying the Viable System Model to Understand Resilience in Public Service Media	Nour Abida 
sch52	2026-09-18	13:00	14:00		lunch	Lunch	
sch53	2026-09-18	14:00	14:45	Room A	talk77	From Organisation to State: Adapting, Reinterpreting and Challenging Stafford Beer’s Cybernetic Ideas in Public Administration and Democratic Governance — The Case of URUCIB in Uruguay	Víctor Ganón
sch54	2026-09-18	14:00	14:45	Room B	talk68	Embracing the Black Box: Why Unexplainable AI (x ̅.AI. ) is a Vital Feature of the Viable System's Algedonic Channel	Stephen McGibbon
sch55	2026-09-18	14:00	14:45	Room C	talk52	From Cybersyn to the City: Variety Engineering and the Design of Open Urban Infrastructures	Mateus van Stralen
sch56	2026-09-18	14:00	14:45	Room D	talk43	The Speed Gap - Translating the Viable System Model for a New Generation of Practitioners 	Krishan Mathis
sch57	2026-09-18	14:45	15:30	Room A	talk87	The Next 100 Years of Stafford Beer: A Working Viable System Model for the Agentic AI Era..     	Steve Outtrim & David J. Teece
sch58	2026-09-18	14:45	15:30	Room B	talk78	Translating VSM into Practice: A Capability‑Led Approach using Microsoft 365	Vijaya Manchem
sch59	2026-09-18	14:45	15:30	Room C	talk45	The Social Movement of Tomorrow: Sharing Practical VSM Application	Leon Bellin
sch60	2026-09-18	14:45	15:30	Room D	talk10	Designing Heterarchy: An Extension of the Viable System Model for Complex Construction Projects.	Ben Wood
sch61	2026-09-18	15:30	16:00		coffee	Coffee	
sch62	2026-09-18	16:00	17:00	Room A	talk44	Cybernetic Futures (workshop)	Krishan Mathis, Margeret Heath, Panos Panagiotis 
sch63	2026-09-18	16:00	17:00	Room B	talk37	A full software implementation of Stafford Beer's Viable System Model (VSM) as a complete enterprise management system (workshop)	Jonathan Huxley 
sch64	2026-09-18	16:00	17:00	Room C	talk63	Community Governance (workshop)	Robin Asby & Penny Marrington 
sch65	2026-09-18	16:00	16:30	Room D	talk15	From viability to measurability – Designing governance structures in highly complex and regulated organisational contexts	Carola Ritzinger-Roll 
sch66	2026-09-18	16:30	17:00	Room D	talk49	Organizational Cybernetics in the Age of AI: Toward an Epistemic Conception of Viability	Maria Giovanna Corrado
sch67	2026-09-18	17:00	18:20	Room A	digitalscreening	Digital Museum/Video Documentaries Screening	A Espinosa, B Angelov, J Walker, V Beer, A Leonard, B Vaz, G Filewod
sch68	2026-09-18	18:20	18:30	Room A	toast	Toast to Stafford Beer 100	A Espinosa, B Angelov, J Walker, V Beer, A Leonard, B Vaz, G Filewod
sch69	2026-09-18	20:00	23:00	plenary	galadinner	Gala Dinner	
sch70	2026-09-19	09:00	09:15	Room A	ifsr	(IFSR)	Louis Klein
sch71	2026-09-19	09:15	10:00	Room A	talk55	Elevating Stafford Beer’s Legacy: A Critical Systems Thinking Perspective on the Viable System Model	Mike Jackson (keynote)
sch72	2026-09-19	09:15	10:00	Room B	talk31	The Art of Boundary-Making: Deepening the VSM through Cognitive-Developmental Science	Jan de Visch
sch73	2026-09-19	09:15	10:00	Room C	talk3	Ecosystemic Transdisciplinary Action Research: An AIESS-Based Methodology for  Regenerative Organisational Cybernetics	Amar KJR Nayak
sch74	2026-09-19	09:15	10:00	Room D	talk59	Designing Viable Identity in Institutional Transitions: A VSM Reconstruction of the Total Veteran Framework	Pedro Pablo Cardoso
sch75	2026-09-19	10:00	10:45	Room A	talk27	Reclaiming Emancipation in Critical Systems Thinking: Using the Double Viable System Model to Identify the Central Game	Gary Evans, Petter Øgland & Jens Kaasbøll
sch76	2026-09-19	10:00	10:45	Room B	talk69	Languaging an Adaptive Organisation into Existence	Steve Brewis
sch77	2026-09-19	10:00	10:45	Room C	talk16	From Building a Regime to Running It: A Participatory Viable System Model Diagnostic of a Regulator Entering Dual-Mode Operation	Chris & Penny Hamlin 
sch78	2026-09-19	10:00	10:45	Room D	talk89	When Viable Systems Fail: Explaining the Gap Between Diagnosis and Practice (workshop)	Ayham Fattoum
sch79	2026-09-19	10:45	11:30	Room A	talk64	Foundations in Dialogue: Comparing VSM and CSH through Checkland’s FMA Framework	Roelien Goede & Gary Smith
sch80	2026-09-19	10:45	11:30	Room B	talk30	Autonomy and cohesion	Ivo Velitchkov
sch81	2026-09-19	10:45	11:30	Room C	talk72	Toward viability: applying the Viable System Model to the cruise shorescape	Taja Macek & Tadeja Jere Jakulin
sch82	2026-09-19	10:45	11:30	Room D	talk66	Gamifying the VSM	Sascha Kullak 
sch83	2026-09-19	11:30	12:00		coffee	Coffee	
sch84	2026-09-19	12:00	12:45	Room A	talk73	Viable for Whom? Contested Identity in the VSM 	Terence Love
sch85	2026-09-19	12:00	12:45	Room B	talk48	Enactive Viable Agency: A Process-Relational Grammar for Operationalizing the Viable System Model	Marcus Barrick
sch86	2026-09-19	12:00	12:45	Room C	talk76	Diagnosing the System of the Self: Logical Closure, Normative Identity, and Existential Viability	Thomas McEvoy-Zafiropulos
sch87	2026-09-19	12:00	12:45	Room D	talk13	Temporal Freedom in Viable Systems: A Genealogical Analysis of Human and Machine Time in Organisational Cybernetics	Camilo Osejo  (workshop)
sch88	2026-09-19	12:45	13:15	Room A	talk19	Taming the Digital Beast: Variety Engineering and the Quest for Techno-Eustress	Cristina Cervino & Francesco Caputo, Igor Perko
sch89	2026-09-19	12:45	13:15	Room B	talk14	Exchange Ecologies and Existential Conductivity: A Cybernetic Framework for Hybrid Human Systems	Carlos Andrés Mejía Beltrán
sch90	2026-09-19	12:45	13:15	Room C	talk24	Toward resilient and ethical viable tourism systems: a cybernetic view on marginal areas digital transformation in Italy	Fabiana Sepe & Simone Luongo, Giovanna Del Gaudio, Mario Tani, Gianpaolo Basile
sch91	2026-09-19	12:45	13:15	Room D	talk53	Charting the Boundaries of Accountability for Enhanced Airport Operational Resilience	Maurizio Tomasella
sch92	2026-09-19	13:15	14:15	break	lunch	Lunch	G Bula, F Caputo
sch93	2026-09-19	14:15	16:15	Room A	worldcafe	World Café: How should we progress Stafford Beer's legacy?	
sch94	2026-09-19	16:15	16:30	Room A	closing	Closing Remarks & Farewell	
