sch44	2026-09-18	12:00	12:45	Room B	talk49	Organizational Cybernetics in the Age of AI: Toward an Epistemic Conception of Viability	Maria Giovanna Corrado & Alfonso Reyes Alvarado
sch45	2026-09-18	12:00	12:45	Room C	talk54	Design of a Cybernetic Governance Framework for Platform Tokenomics	Miguel Garcia Matas
sch46	2026-09-18	12:00	12:45	Room D	talk79	Governance in the Magdalena River Community from the Postulates of the Viable System Model	Zeltzin Pérez-Matamoros, Ricardo Tejeida-Padilla & Isaías Badillo-Piña
sch47	2026-09-18	12:45	13:45		lunch	Lunch	G Bula, F Caputo
sch48	2026-09-18	13.45	15:45	Room A	specialplenary	Special Plenary Panel — WOSC: .The World in Torment: A Time Whose Ideas Must Come	
sch49	2026-09-18	13.45	14:45	Room B	talk14	Exchange Ecologies and Existential Conductivity: A Cybernetic Framework for Hybrid Human Systems	Carlos Andrés Mejía Beltrán
sch50	2026-09-18	13.45	14:45	Room C	talk45	The Social Movement of Tomorrow: Sharing Practical VSM Application	Leon Bellin
sch51	2026-09-18	13.45	14:45	Room D	talk10	Designing Heterarchy: An Extension of the Viable System Model for Complex Construction Projects.	Ben Wood
sch52	2026-09-18	14:45	15:45	Room B	talk78	Translating VSM into Practice: A Capability‑Led Approach using Microsoft 365	Vijaya Manchem
sch53	2026-09-18	14:45	15:45	Room C	talk76	Diagnosing the System of the Self: Logical Closure, Normative Identity, and Existential Viability	Thomas McEvoy-Zafiropulos
sch54	2026-09-18	14:45	15:45	Room D	talk43	The Speed Gap - Translating the Viable System Model for a New Generation of Practitioners 	Krishan Mathis
sch55	2026-09-18	15:45	16:15		coffee	Coffee	
sch56	2026-09-19	16:15	17:00	Room A	talk21	Beer-Viable but Teece-Dead: The Viable System Model as the Wiring Diagram of Dynamic Capabilities	Steve Outtrim & David J. Teece
sch57	2026-09-19	16:15	17:00	Room B	talk68	Embracing the Black Box: Why Unexplainable AI (x ̅.AI. ) is a Vital Feature of the Viable System's Algedonic Channel	Stephen McGibbon
sch58	2026-09-18	16:15	17:00	Room C	talk52	From Cybersyn to the City: Variety Engineering and the Design of Open Urban Infrastructures	Mateus van Stralen
sch59	2026-09-18	17:00	17:50		digitalscreening	Digital Museum/Video Documentaries Screening	A Espinosa, B Angelov, J Walker, V Beer, A Leonard, B Vaz, G Filewod
sch60	2026-09-18	17:50	18:00		toast	Toast to Stafford Beer 100	
sch61	2026-09-18	20:00	23:00		galadinner	Gala Dinner	
sch62	2026-09-19	09:00	09:15		reception	Reception	
sch63	2026-09-19	09:15	10:00	Room A	talk55	Elevating Stafford Beer’s Legacy: A Critical Systems Thinking Perspective on the Viable System Model	Mike Jackson
sch64	2026-09-19	09:15	10:00	Room B	talk31	The Art of Boundary-Making: Deepening the VSM through Cognitive-Developmental Science	Jan de Visch
sch65	2026-09-19	09:15	10:00	Room C	talk11	Rethinking Organisational Networks: Practical Insights from Applying the Viable System Model in Real World Ecosystems	Lien Peeters & Benny Corvers
sch66	2026-09-19	09:15	10:00	Room D	talk82	When Viable Systems Fail: Explaining the Gap Between Diagnosis and Practice (workshop)	Ayham Fattoum
sch67	2026-09-19	10:00	10:45	Room A	talk27	Reclaiming Emancipation in Critical Systems Thinking: Using the Double Viable System Model to Identify the Central Game	Gary Evans, Petter Øgland & Jens Kaasbøll
sch68	2026-09-19	10:00	10:45	Room B	talk69	Languaging an Adaptive Organisation into Existence	Steve Brewis
sch69	2026-09-19	10:00	10:45	Room C	talk72	Toward viability: applying the Viable System Model to the cruise shorescape	Taja Macek & Tadeja Jere Jakulin
sch70	2026-09-19	10:00	10:45	Room D	talk59	Designing Viable Identity in Institutional Transitions: A VSM Reconstruction of the Total Veteran Framework	Pedro Pablo Cardoso
sch71	2026-09-19	10:45	11:30	Room A	talk73	Viable for Whom? Contested Identity in the VSM 	Terence Love
sch72	2026-09-19	10:45	11:30	Room B	talk30	Autonomy and cohesion	Ivo Velitchkov
sch73	2026-09-19	10:45	11:30	Room C	talk24	Toward resilient and ethical viable tourism systems: a cybernetic view on marginal areas digital transformation in Italy	Fabiana Sepe & Simone Luongo, Giovanna Del Gaudio, Mario Tani, Gianpaolo Basile
sch74	2026-09-19	10:45	11:30	Room D	talk53	Charting the Boundaries of Accountability for Enhanced Airport Operational Resilience	Maurizio Tomasella
sch75	2026-09-19	11:30	12:00		coffee	Coffee 	
sch76	2026-09-19	12:00	12:45	Room A	talk64	Foundations in Dialogue: Comparing VSM and CSH through Checkland’s FMA Framework	Roelien Goede & Gary Smith
sch77	2026-09-19	12:00	12:45	Room B	talk48	Enactive Viable Agency: A Process-Relational Grammar for Operationalizing the Viable System Model	Marcus Barrick
sch78	2026-09-19	12:00	12:45	Room C	talk16	From Building a Regime to Running It: A Participatory Viable System Model Diagnostic of a Regulator Entering Dual-Mode Operation	Chris & Penny Hamlin 
sch79	2026-09-19	12:00	12:45	Room D	talk66	Gamifying the VSM	Sascha Kullak 
sch80	2026-09-19	12:45	13:30	Room A	talk56	Can Stafford Beer Help Save Journalism? Applying the Viable System Model to Understand Resilience in Public Service Media	Nour Abida 
sch81	2026-09-19	12:45	13:30	Room B	talk13	Temporal Freedom in Viable Systems: A Genealogical Analysis of Human and Machine Time in Organisational Cybernetics	Camilo Osejo 
sch82	2026-09-19	12:45	13:30	Room C	talk33	Beyond Viability: Ontological Foundations for Ethical and Regenerative Systems	Jeremy Pryce 
sch83	2026-09-19	12:45	13:30	Room D	talk15	From viability to measurability – Designing governance structures in highly complex and regulated organisational contexts	Carola Ritzinger-Roll 
sch84	2026-09-19	13:30	14:30		lunch	Lunch	
sch85	2026-09-19	14:30	16:00	Room A	talk44	Cybernetic Futures (workshop)	Krishan Mathis, Margeret Heath, Panos Panagiotis 
sch86	2026-09-19	14:30	16:00	Room B	talk37	A full software implementation of Stafford Beer's Viable System Model (VSM) as a complete enterprise management system (workshop)	Jonathan Huxley 
sch87	2026-09-19	14:30	16:00	Room C	talk63	Community Governance (workshop)	Robin Asby & Penny Marrington 
sch88	2026-09-19	16:00	16:30		closing	Closing Remarks & Farewell	
