sch16	2026-09-17	12:15	13:00	Room C	talk35	Useful Art as a Toolkit for Cybernetic Change: A Viable Systems Model for a Better World Today	John Byrne
sch17	2026-09-17	12:15	13:00	Room D	talk47	Beer’s Pedagogy: Lessons from the Concordia University Lectures	Marc-André Pigeon
sch18	2026-09-17	13:00	14:00		lunch	Lunch	
sch19	2026-09-17	14:00	14:45	Room A	talk18	Designing Freedom. Still. And again 	Constantin Malik 
sch20	2026-09-17	14:00	14:45	Room B	talk68	Embracing the Black Box: Why Unexplainable AI (x ̅.AI. ) is a Vital Feature of the Viable System's Algedonic Channel	Stephen McGibbon
sch21	2026-09-17	14:00	14:45	Room C	talk95	From Confluence to Emergence: What Ouro Preto Made Possible ASC 2026 – Reflections, Outcomes and New Pathways	Mateus Van Stralen, Juliana Alves, Jose Dos Santos Cabral, Allenna Leonard
sch22	2026-09-17	14:00	14:45	Room D	talk26	Algedonics in practice? Notes from Swedish collective bargaining	Franz Spengler
sch23	2026-09-17	14:45	15:30	Room A	talk83	From Values to Organizational Practice - the Contribution of the VSM to value-oriented leadership in the age of digitalization	Wolfgang Lassl
sch24	2026-09-17	14:45	15:30	Room B	talk4	The Journey of LaCoCa - A Crew Sets Sail!. - Gamification Makes the VSM an Experience - No Theory Required	Andreas Slogar
sch25	2026-09-17	14:45	15:30	Room C	talk12	Viable Space Governance in Latin America: A Processual Reading through Beer’s VSM	Bruno Vaz
sch26	2026-09-17	14:45	15:30	Room D	talk74	Gameful Experiences for Hopeful Futures: CyberNations (workshop)	Thomas A.J. Biedermann
sch27	2026-09-17	15:30	16.:00		coffee	Coffee 	
sch28	2026-09-17	16.:00	17:00	Room A	talk23	Don't shoot the cat (workshop)	Katharine N. Farrell, Jon Walker, Ed van der Winden & (posthumously) Brian Lederer
sch29	2026-09-17	16.:00	17:00	Room B	talk89	When Viable Systems Fail: Explaining the Gap Between Diagnosis and Practice (workshop)	Ayham Fattoum
sch30	2026-09-17	16.:00	17:00	Room C	talk79	Governance in the Magdalena River Community from the Postulates of the Viable System Model	Zeltzin Pérez-Matamoros, Ricardo Tejeida-Padilla & Isaías Badillo-Piña
sch31	2026-09-17	16.:00	16:30	Room D	talk75	Midlife Chrysalis: from ‘good Chinese boy’ and economics to Stafford Beer-aholics                                                          	Tom Chan
sch32	2026-09-17	16:30	17:00	Room D	talk54	Design of a Cybernetic Governance Framework for Platform Tokenomics	Miguel Garcia Matas
sch33	2026-09-17	17:00	17:45	Room A	talk85	Diagnosing the System for Systems Research: Recognising and Realising a Field in Itself and for Itself (IFSR)	Louis Klein (keynote)
sch34	2026-09-17	17:00	17:45	Room B	talk84	Systems Thinking and Cybernetics -- the Missing Link in the Sustainability Discourse	Michael Ben Eli (keynote)
sch35	2026-09-17	17:00	17:45	Room C	talk86	Cybersyn Exhibition (video) - Reconstruction of the Cybersyn Operating Room	H. Palmarola, E. Medina, P.L. Alonso
sch36	2026-09-17	17:00	17:45	Room D	talk38	Architecture for Freedom: Syntegrity as an Educational Practice	José dos Santos Cabral Filho & Ana Paula Baltazar dos Santos
sch37	2026-09-18	09:00	09:45	Room A	talk25	Building upon the Project Cybersyn: CyberSystemic Management for blending Structural Cybernetics and Relational Consonance	Francisco Caputo (keynote)
sch38	2026-09-18	09:00	09:45	Room B	talk39	A Cybernetic Architecture for AI Governance: Integrating Identity, VSM, and Organizational Pathologies	José Pérez Ríos
sch39	2026-09-18	09:00	09:45	Room C	talk36	Towards new economic and social structures for a collaborative, post-capitalistic society	Jon Walker
sch40	2026-09-18	09:00	09:45	Room D	talk71	The Škofja Loka Passion Play as a Nexus of System, Culture, Art and Religion	Tadeja Jere Jakulin
sch41	2026-09-18	09:45	10:30	Room A	talk28	Beer’s Thought in the Colombian Comptroller General Project: Beyond Detecting Corruption—Designing Viable Public Institutions through Organizational Cybernetics	German Bula Escobar (keynote)
sch42	2026-09-18	09:45	10:30	Room B	talk58	Bridging PIMS Data and Cybernetics: An Externally Anchored Operations Room	Pedram Farschtschian & Louis Harel
sch43	2026-09-18	09:45	10:30	Room C	talk65	Artificial intelligence as a liberty machine. A metamodelization of barefoot cybernetics 	Theodor Sarafidis
sch44	2026-09-18	09:45	10:30	Room D	talk62	From Evidence to Inquiry: Keeping LLM Inference Provisional in Recursive VSM Diagnosis	Richard Gunther
sch45	2026-09-18	10:30	11:00		coffee	Coffee 	
sch46	2026-09-18	11:00	11:45	Room A	talk60	Insufficient Variety and Artificial Intelligence 	Raul Espejo
sch47	2026-09-18	11:00	11:45	Room B	talk1	OpenSoma: A Decolonial Cybernetic Agent A Working System in the Line of Descent from Project Cybersyn	Alejandro Fernandez
sch48	2026-09-18	11:00	11:45	Room C	talk11	Rethinking Organisational Networks: Practical Insights from Applying the Viable System Model in Real World Ecosystems	Lien Peeters & Benny Corvers
sch49	2026-09-18	11:00	11:45	Room D	talk59	Designing Viable Identity in Institutional Transitions: A VSM Reconstruction of the Total Veteran Framework	Pedro Pablo Cardoso
sch50	2026-09-18	11:45	12:30	Room A	talk29	CyberSystemic Model Creation Protocol: AI-energy-climate-health governance case	Igor Perko
