sch15	2026-09-17	12:15	13:00	Room B	talk78	Translating VSM into Practice: A Capability‑Led Approach using Microsoft 365	Vijaya Manchem			slideset10.pdf	placeholder.pdf
sch16	2026-09-17	12:15	13:00	Room C	talk35	Useful Art as a Toolkit for Cybernetic Change: A Viable Systems Model for a Better World Today	John Byrne			slideset11.pdf	placeholder.pdf
sch17	2026-09-17	12:15	13:00	Room D	talk47	Beer’s Pedagogy: Lessons from the Concordia University Lectures	Marc-André Pigeon			slideset12.pdf	placeholder.pdf
sch18	2026-09-17	13:00	14:00		lunch	Lunch					
sch19	2026-09-17	14:00	14:45	Room A	talk7	Ecocybernetics and the Living Foundations of Beer's Viable System Model 	Angus Jenkinson			slideset09.pdf	placeholder.pdf
sch20	2026-09-17	14:00	14:45	Room B	talk68	Embracing the Black Box: Why Unexplainable AI (x ̅.AI. ) is a Vital Feature of the Viable System's Algedonic Channel	Stephen McGibbon			slideset14.pdf	placeholder.pdf
sch21	2026-09-17	14:00	14:45	Room C	talk95	From Confluence to Emergence: What Ouro Preto Made Possible ASC 2026 – Reflections, Outcomes and New Pathways	Mateus Van Stralen, Juliana Alves, Jose Dos Santos Cabral, Allenna Leonard			slideset15.pdf	placeholder.pdf
sch22	2026-09-17	14:00	14:45	Room D	talk26	Algedonics in practice? Notes from Swedish collective bargaining	Franz Spengler			slideset16.pdf	placeholder.pdf
sch23	2026-09-17	14:45	15:30	Room A	talk21	Beer-Viable but Teece-Dead: The Viable System Model as the Wiring Diagram of Dynamic Capabilities	Steve Outtrim & David J. Teece			slideset05.pdf	placeholder.pdf
sch24	2026-09-17	14:45	15:30	Room B	talk4	The Journey of LaCoCa - A Crew Sets Sail!. - Gamification Makes the VSM an Experience - No Theory Required	Andreas Slogar			slideset18.pdf	placeholder.pdf
sch25	2026-09-17	14:45	15:30	Room C	talk12	Viable Space Governance in Latin America: A Processual Reading through Beer’s VSM	Bruno Vaz			slideset19.pdf	placeholder.pdf
sch26	2026-09-17	14:45	15:30	Room D	talk74	Gameful Experiences for Hopeful Futures: CyberNations (workshop)	Thomas A.J. Biedermann			slideset20.pdf	placeholder.pdf
sch27	2026-09-17	15:30	16.:00		coffee	Coffee 					
sch28	2026-09-17	16.:00	17:00	Room A	talk23	Don't shoot the cat (workshop)	Katharine N. Farrell, Jon Walker, Ed van der Winden & (posthumously) Brian Lederer			slideset21.pdf	placeholder.pdf
sch29	2026-09-17	16.:00	17:00	Room B	talk89	When Viable Systems Fail: Explaining the Gap Between Diagnosis and Practice (workshop)	Ayham Fattoum			slideset22.pdf	placeholder.pdf
sch30	2026-09-17	16.:00	17:00	Room C	talk79	Governance in the Magdalena River Community from the Postulates of the Viable System Model	Zeltzin Pérez-Matamoros, Ricardo Tejeida-Padilla & Isaías Badillo-Piña			slideset23.pdf	placeholder.pdf
sch31	2026-09-17	16.:00	16:30	Room D	talk75	Midlife Chrysalis: from ‘good Chinese boy’ and economics to Stafford Beer-aholics                                                          	Tom Chan			slideset24.pdf	placeholder.pdf
sch32	2026-09-17	16:30	17:00	Room D	talk54	Design of a Cybernetic Governance Framework for Platform Tokenomics	Miguel Garcia Matas			slideset25.pdf	placeholder.pdf
sch33	2026-09-17	17:00	17:45	Room A	talk84	Systems Thinking and Cybernetics -- the Missing Link in the Sustainability Discourse	Michael Ben Eli (keynote)			slideset27.pdf	placeholder.pdf
sch34	2026-09-17	17:00	17:45	Room B	talk83	From Values to Organizational Practice - the Contribution of the VSM to value-oriented leadership in the age of digitalization	Wolfgang Lassl			slideset17.pdf	placeholder.pdf
sch35	2026-09-17	17:00	17:30	Room C	talk86	Cybersyn Exhibition (video) - Reconstruction of the Cybersyn Operating Room	H. Palmarola, E. Medina, P.L. Alonso			slideset28.pdf	placeholder.pdf
sch36	2026-09-17	17:30	17:45	Room C	talk97	Stafford Beer in Latin America: Governance and the Politics of Possibility	Jose C Mariategui 			slideset30.pdf	placeholder.pdf
sch37	2026-09-17	17:00	17:45	Room D	talk38	Architecture for Freedom: Syntegrity as an Educational Practice	José dos Santos Cabral Filho & Ana Paula Baltazar dos Santos			slideset29.pdf	placeholder.pdf
sch38	2026-09-18	09:00	09:45	Room A	talk25	Building upon the Project Cybersyn: CyberSystemic Management for blending Structural Cybernetics and Relational Consonance	Francisco Caputo (keynote)			slideset31.pdf	placeholder.pdf
sch39	2026-09-18	09:00	09:45	Room B	talk39	A Cybernetic Architecture for AI Governance: Integrating Identity, VSM, and Organizational Pathologies	José Pérez Ríos			slideset32.pdf	placeholder.pdf
sch40	2026-09-18	09:00	09:45	Room C	talk36	Towards new economic and social structures for a collaborative, post-capitalistic society	Jon Walker			slideset33.pdf	placeholder.pdf
sch41	2026-09-18	09:00	09:45	Room D	talk71	The Škofja Loka Passion Play as a Nexus of System, Culture, Art and Religion	Tadeja Jere Jakulin			slideset34.pdf	placeholder.pdf
sch42	2026-09-18	09:45	10:30	Room A	talk28	Beer’s Thought in the Colombian Comptroller General Project: Beyond Detecting Corruption—Designing Viable Public Institutions through Organizational Cybernetics	German Bula Escobar (keynote)			slideset35.pdf	placeholder.pdf
sch43	2026-09-18	09:45	10:30	Room B	talk58	Bridging PIMS Data and Cybernetics: An Externally Anchored Operations Room	Pedram Farschtschian & Louis Harel			slideset36.pdf	placeholder.pdf
sch44	2026-09-18	09:45	10:30	Room C	talk65	Artificial intelligence as a liberty machine. A metamodelization of barefoot cybernetics 	Theodor Sarafidis		pdf	slideset37.pdf	slides_Sarafidis_AI_liberty machine.pdf
sch45	2026-09-18	09:45	10:30	Room D	talk62	From Evidence to Inquiry: Keeping LLM Inference Provisional in Recursive VSM Diagnosis	Richard Gunther			slideset38.pdf	placeholder.pdf
sch46	2026-09-18	10:30	11:00		coffee	Coffee 					
sch47	2026-09-18	11:00	11:45	Room A	talk60	Insufficient Variety and Artificial Intelligence 	Raul Espejo			slideset39.pdf	placeholder.pdf
sch48	2026-09-18	11:00	11:45	Room B	talk61	Cybersyn Boxes. Prototyping a Document Visualisation Assisted by AI	Ricardo Vega Mora			slideset44.pdf	placeholder.pdf
sch49	2026-09-18	11:00	11:45	Room C	talk11	Rethinking Organisational Networks: Practical Insights from Applying the Viable System Model in Real World Ecosystems	Lien Peeters & Benny Corvers			slideset41.pdf	placeholder.pdf
sch50	2026-09-18	11:00	11:45	Room D	talk59	Designing Viable Identity in Institutional Transitions: A VSM Reconstruction of the Total Veteran Framework	Pedro Pablo Cardoso			slideset42.pdf	placeholder.pdf
sch51	2026-09-18	11:45	12:30	Room A	talk29	CyberSystemic Model Creation Protocol: AI-energy-climate-health governance case	Igor Perko			slideset43.pdf	placeholder.pdf
sch52	2026-09-18	11:45	12:30	Room B	talk1	OpenSoma: A Decolonial Cybernetic Agent A Working System in the Line of Descent from Project Cybersyn	Alejandro Fernandez			slideset40.pdf	placeholder.pdf
sch53	2026-09-18	11:45	12:30	Room C	talk76	Diagnosing the System of the Self: Logical Closure, Normative Identity, and Existential Viability	Thomas McEvoy-Zafiropulos (NOT Saturday 19)			slideset54.pdf	placeholder.pdf
sch54	2026-09-18	11:45	12:30	Room D	talk56	Can Stafford Beer Help Save Journalism? Applying the Viable System Model to Understand Resilience in Public Service Media	Nour Abida 			slideset46.pdf	placeholder.pdf
sch55	2026-09-18	12:30	13:30		lunch	Lunch					
sch56	2026-09-18	13:30	14:00	Room A	specialplenary	Special Plenary Panel — WOSC: .The World in Torment: A Time Whose Ideas Must Come	I Perko, F Caputo, A Reyes			slideset47.pdf	placeholder.pdf
sch57	2026-09-18	14:00	14:30	Room A	talk72	Toward viability: applying the Viable System Model to the cruise shorescape	Taja Macek & Tadeja Jere Jakulin			slideset48.pdf	placeholder.pdf
sch58	2026-09-18	14:00	14:45	Room B	talk87	The Next 100 Years of Stafford Beer: A Working Viable System Model for the Agentic AI Era..     	Steve Outtrim & David J. Teece			slideset49.pdf	placeholder.pdf
sch59	2026-09-18	14:00	14:45	Room C	talk52	From Cybersyn to the City: Variety Engineering and the Design of Open Urban Infrastructures	Mateus van Stralen			slideset50.pdf	placeholder.pdf
sch60	2026-09-18	14:00	14:45	Room D	talk43	The Speed Gap - Translating the Viable System Model for a New Generation of Practitioners 	Krishan Mathis			slideset51.pdf	placeholder.pdf
sch61	2026-09-18	14:30	15:00	Room A	talk19	Taming the Digital Beast: Variety Engineering and the Quest for Techno-Eustress	Cristina Cervino & Francesco Caputo, Igor Perko			slideset52.pdf	placeholder.pdf
sch62	2026-09-18	14:45	15:30	Room B	talk94	Purposive AI for the 21st Century Sustainable University	Katherine Farrell			slideset53.pdf	placeholder.pdf
sch63	2026-09-18	14:45	15:30	Room C	talk5	Ponds, politics and the east: Stafford Beer's cybernetics—a wider view.	Andrew Pickering (keynote)			slideset45.pdf	placeholder.pdf
sch64	2026-09-18	14:45	15:30	Room D	talk73	Viable for Whom? Contested Identity in the VSM 	Terence Love			slideset55.pdf	placeholder.pdf
sch65	2026-09-18	15:00	15:30	Room A	talk24	Toward resilient and ethical viable tourism systems: a cybernetic view on marginal areas digital transformation in Italy	Fabiana Sepe & Simone Luongo, Giovanna Del Gaudio, Mario Tani, Gianpaolo Basile			slideset56.pdf	placeholder.pdf
sch66	2026-09-18	15:30	16:00		coffee	Coffee					
sch67	2026-09-18	16:00	16:30	Room A	talk49	Organizational Cybernetics in the Age of AI: Toward an Epistemic Conception of Viability	Maria Giovanna Corrado			slideset57.pdf	placeholder.pdf
sch68	2026-09-18	16:00	17:00	Room B	talk44	Cybernetic Futures (workshop)	Krishan Mathis, Margeret Heath, Panos Panagiotis 			slideset58.pdf	placeholder.pdf
sch69	2026-09-18	16:00	17:00	Room C	talk63	Community Governance (workshop)	Robin Asby & Penny Marrington 			slideset59.pdf	placeholder.pdf
sch70	2026-09-18	16:00	17:00	Room D	talk37	A full software implementation of Stafford Beer's Viable System Model (VSM) as a complete enterprise management system (workshop)	Jonathan Huxley 			slideset60.pdf	placeholder.pdf
sch71	2026-09-18	16:30	17:00	Room A	talk53	Charting the Boundaries of Accountability for Enhanced Airport Operational Resilience	Maurizio Tomasella			slideset61.pdf	placeholder.pdf
sch72	2026-09-18	17:05	18:30	Room A	digitalscreening	Digital Museum/Video Documentaries Screening	A Espinosa, B Angelov, J Walker, V Beer, A Leonard, B Vaz, G Filewod			slideset62.pdf	placeholder.pdf
sch73	2026-09-18	20:00	23:00		galadinner	Gala Dinner					
sch74	2026-09-19	09:00	09:15		reception	Reception					
sch75	2026-09-19	09:15	10:00	Room A	talk55	Elevating Stafford Beer’s Legacy: A Critical Systems Thinking Perspective on the Viable System Model	Mike Jackson (keynote)				
sch76	2026-09-19	09:15	10:00	Room B	talk31	The Art of Boundary-Making: Deepening the VSM through Cognitive-Developmental Science	Jan de Visch			slideset63.pdf	placeholder.pdf
sch77	2026-09-19	09:15	10:00	Room C	talk3	Ecosystemic Transdisciplinary Action Research: An AIESS-Based Methodology for  Regenerative Organisational Cybernetics	Amar KJR Nayak			slideset64.pdf	placeholder.pdf
sch78	2026-09-19	09:15	10:00	Room D	talk15	From viability to measurability – Designing governance structures in highly complex and regulated organisational contexts	Carola Ritzinger-Roll 		pdf	slideset65.pdf	slides_Ritzinger-Roll_C_2026-09-19.pdf
sch79	2026-09-19	10:00	10:45	Room A	talk27	Reclaiming Emancipation in Critical Systems Thinking: Using the Double Viable System Model to Identify the Central Game	Gary Evans, Petter Øgland & Jens Kaasbøll			slideset66.pdf	placeholder.pdf
sch80	2026-09-19	10:00	10:45	Room B	talk69	Languaging an Adaptive Organisation into Existence	Steve Brewis			slideset67.pdf	placeholder.pdf
sch81	2026-09-19	10:00	10:45	Room C	talk45	The Social Movement of Tomorrow: Sharing Practical VSM Application	Leon Bellin			slideset72.pdf	placeholder.pdf
sch82	2026-09-19	10:00	10:45	Room D	talk10	Designing Heterarchy: An Extension of the Viable System Model for Complex Construction Projects.	Ben Wood			slideset69.pdf	placeholder.pdf
sch83	2026-09-19	10:45	11:15		coffee	Coffee 					
sch84	2026-09-19	11:15	12:00	Room A	talk64	Foundations in Dialogue: Comparing VSM and CSH through Checkland’s FMA Framework	Roelien Goede & Gary Smith			slideset70.pdf	placeholder.pdf
sch85	2026-09-19	11:15	12:00	Room B	talk30	Autonomy and cohesion	Ivo Velitchkov			slideset71.pdf	placeholder.pdf
sch86	2026-09-19	11:15	12:00	Room C	talk66	Gamifying the VSM	Sascha Kullak 			slideset76.pdf	placeholder.pdf
sch87	2026-09-19	11:15	12:00	Room D	talk13	Temporal Freedom in Viable Systems: A Genealogical Analysis of Human and Machine Time in Organisational Cybernetics	Camilo Osejo  (workshop)			slideset74.pdf	placeholder.pdf
sch88	2026-09-19	12:00	12:45	Room A	talk85	Diagnosing the System for Systems Research: Recognising and Realising a Field in Itself and for Itself (IFSR)	Louis Klein (keynote)			slideset26.pdf	placeholder.pdf
sch89	2026-09-19	12:00	12:45	Room B	talk48	Enactive Viable Agency: A Process-Relational Grammar for Operationalizing the Viable System Model	Marcus Barrick			slideset75.pdf	placeholder.pdf
sch90	2026-09-19	12:00	12:45	Room C	talk16	From Building a Regime to Running It: A Participatory Viable System Model Diagnostic of a Regulator Entering Dual-Mode Operation	Chris  Hamlin, Penny Hamlin & 			slideset68.pdf	placeholder.pdf
sch91	2026-09-19	12:00	12:45	Room D	talk14	Exchange Ecologies and Existential Conductivity: A Cybernetic Framework for Hybrid Human Systems	Carlos Andrés Mejía Beltrán			slideset73.pdf	placeholder.pdf
sch92	2026-09-19	12:45	13:45		lunch	Lunch					
sch93	2026-09-19	14:00	14:15	Room A	finalintro	Final session - Introduction					
sch94	2026-09-19	14:15	16:15	Room A	worldcafe	Pathways forward					
sch95	2026-09-19	16:15	16:30	Room A	closing	Closing Remarks & Farewell					
